;;;;;;;;;;
NO;F˜ž/FATURA ADI;TAR˜H;TUTAR;KDV;GEN.TOP.;HARCAMA;HARCAMA C˜NS˜;A€IKLAMA;D™NEM;D™KšLEN BETON
1;ADALET BAKANLI¦I;18.01.2019;647,50   ;52,50   ;700,00   ;VERG˜/HAR€;HAR€;S˜MAL CONSTRUCTION KURULUMU ˜€˜N;Oca.19;
2;POL˜GRAF SERV˜S LTD;18.01.2019;38,14   ;6,86   ;45,00   ;KIRTAS˜YE;KIRTAS˜YE;KAžE YAPIMI;Oca.19;
3;B˜BLUS˜ LTD;18.01.2019;43,04   ;7,76   ;50,80   ;KIRTAS˜YE;KIRTAS˜YE;KLAS™R,DOSYA,DELGE€,ZIMBA;Oca.19;
4;MšTEFER˜K HARCAMA;18.01.2019;207,50   ;42,50   ;250,00   ;VERG˜/HAR€;NOTER;NOTER VE TERCšMAN šCRET˜ 2AD.2 žER TANE;Oca.19;
5;MšTEFER˜K HARCAMA;18.01.2019;11,00   ;0,00   ;11,00   ;D˜¦ER G˜DERLER;D˜¦ER;PARK CEZASI;Oca.19;
6;MšTEFER˜K HARCAMA;18.01.2019;20,00   ;0,00   ;20,00   ;D˜¦ER G˜DERLER;D˜¦ER;PARKETME VERG˜S˜;Oca.19;
7;MšTEFER˜K HARCAMA;18.01.2019;15,00   ;0,00   ;15,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;SABAH KAHVALTI EREN CAN ž˜MžEK;Oca.19;
8;MšTEFER˜K HARCAMA;18.01.2019;18,20   ;0,00   ;18,20   ;D˜¦ER G˜DERLER;D˜¦ER;OTOPARK BAHž˜ž;Oca.19;
9;MšTEFER˜K HARCAMA;27.02.2019;36,80   ;0,00   ;36,80   ;D˜¦ER G˜DERLER;YEMEK;EREN BEY, TAHS˜N BEY, TAMAZ BEY;žub.19;
10;MAGT˜ GSM;27.02.2019;19,68   ;4,32   ;24,00   ;˜LET˜ž˜M;TELEFON/˜NTERNET;TAHS˜N BEY, EREN BEY 5 GB 12 LAR˜;žub.19;
11;MšTEFER˜K HARCAMA;27.02.2019;2,00   ;0,00   ;2,00   ;D˜¦ER G˜DERLER;D˜¦ER;OTOPARK;žub.19;
12;MšTEFER˜K HARCAMA;27.02.2019;2,00   ;0,00   ;2,00   ;D˜¦ER G˜DERLER;D˜¦ER;YEMEK BAHž˜ž;žub.19;
13;BS METAL GRUP;27.02.2019;23,59   ;5,17   ;28,76   ;MALZEME;HIRDAVAT;BALYOZ, BANT;žub.19;
14;OKRO LTD;25.02.2019;228,78   ;50,22   ;279,00   ;MALZEME;HIRDAVAT;ELD˜VEN , AYAKKABI, €EK˜€ 2AD.KESER ,˜P;žub.19;
15;BSM GEORG˜A;22.02.2019;14,15   ;2,55   ;16,70   ;MALZEME;HIRDAVAT;3Lš PR˜Z 2 ADET;žub.19;
16;B˜BLUS˜ LTD;28.02.2019;14,94   ;0,16   ;15,10   ;KIRTAS˜YE;KIRTAS˜YE;KIRTASIYE - AJANDA- S˜LG˜;žub.19;
17;BS METAL GRUP;26.02.2019;31,94   ;7,01   ;38,95   ;MALZEME;HIRDAVAT;BALYOZ, BANT, KESME TAžI;žub.19;
18;OKRO LTD;28.02.2019;41,82   ;9,18   ;51,00   ;MALZEME;HIRDAVAT;12AD ELD˜VEN, 5AD KESME TAžI;žub.19;
19;MšTEFER˜K HARCAMA;27.02.2019;103,00   ;0,00   ;103,00   ;AKARYAKIT;06 AER 902;DUSTER MAZOT ;žub.19;
20;BS METAL GRUP;27.02.2019;50,48   ;11,50   ;61,98   ;MALZEME;HIRDAVAT;€˜ZME 2AD;žub.19;
21;OKRO LTD;27.02.2019;49,20   ;10,80   ;60,00   ;MALZEME;HIRDAVAT;€˜ZME 3AD;žub.19;
22;MšTEFER˜K HARCAMA;4.03.2019;12,95   ;0,00   ;12,95   ;MALZEME;ELEKTR˜K MALZEME;3 Lš PR˜Z;Mar.19;
23;MšTEFER˜K HARCAMA;2.03.2019;30,00   ;0,00   ;30,00   ;VERG˜/HAR€;HAR€;K˜RALIK ARA€ S™ZLEžME TERCšMES˜;Mar.19;
24;MERAB DEVADZE;5.03.2019;5,08   ;0,92   ;6,00   ;MALZEME;HIRDAVAT;KESER SAPI;Mar.19;
25;BS METAL GRUP;5.03.2019;27,83   ;5,01   ;32,84   ;MALZEME;HIRDAVAT;MATKAP UCU- 7L˜K BETON, 24LšK AHžAP;Mar.19;
26;BS METAL GRUP;4.03.2019;47,36   ;8,53   ;55,89   ;MALZEME;HIRDAVAT;20L˜K AHžAP MATKAP UCU, KESER, ™NLšK, žAKšL;Mar.19;
27;MšTEFER˜K HARCAMA;5.03.2019;48,00   ;0,00   ;48,00   ;D˜¦ER G˜DERLER;YEMEK;HAL˜M BEY, TAHS˜N BEY, EREN BEY;Mar.19;
28;MAGTI;22.02.2019;24,00   ;0,00   ;24,00   ;˜LET˜ž˜M;TELEFON/˜NTERNET;2 AD 5GB ˜NTEEERNET - TAHS˜N BEY, EREN BEY;žub.19;
29;ARHAVI RESTORAN;19.02.2019;15,00   ;0,00   ;15,00   ;D˜¦ER G˜DERLER;YEMEK;3 K˜ž˜ KAHVALTI;žub.19;
30;MINIMA;5.03.2019;12,40   ;0,00   ;12,40   ;MALZEME;ZšCACC˜YE;˜ž€˜LERE SU BARDAK VS.;Mar.19;
31;TSULU;6.03.2019;3,90   ;0,00   ;3,90   ;MALZEME;ZšCACC˜YE;˜ž€˜LERE SU BARDAK VS.;Mar.19;
32;MINIMA;6.03.2019;100,00   ;0,00   ;100,00   ;AKARYAKIT;AKARYAKIT;K˜RALIK M˜N˜BšS MAZOT;Mar.19;
33;BS METAL GRUP;6.03.2019;57,80   ;10,40   ;68,20   ;MALZEME;HIRDAVAT;1ER AD. ˜ž AYAKKABISI, BARET, YELEK, 6AD KESME TAžI, G™ZLšK;Mar.19;
34;WISSOL;7.03.2019;100,00   ;0,00   ;100,00   ;AKARYAKIT;06 AER 902;06AER902 YAKIT;Mar.19;
35;GEORGIA YAPI MARKET;8.03.2019;22,46   ;4,04   ;26,50   ;MALZEME;HIRDAVAT;2KG €EK˜€;Mar.19;
36;OKRO LTD;9.03.2019;15,25   ;2,75   ;18,00   ;MALZEME;HIRDAVAT;KESME TAžI;Mar.19;
37;BATUM MUHTEL˜F HARCAMA;9.03.2019;52,03   ;0,00   ;52,03   ;D˜¦ER G˜DERLER;D˜¦ER;MUHTEL˜F HARCAMA + OTOPARK + VS;Mar.19;
38;BS METAL GRUP;9.03.2019;102,62   ;18,48   ;121,10   ;MALZEME;HIRDAVAT;YEN˜ PERSONELE:˜ž AYAKKABISI,YELEK,BARET 3' ER AD./ELD˜VEN 12 AD.;Mar.19;
39;BS METAL GRUP;9.03.2019;8,90   ;1,60   ;10,50   ;MALZEME;HIRDAVAT;19' LUK KOMB˜NE ANAHTAR-1 AD.;Mar.19;
40;GEORG˜O YAPI;9.03.2019;9,07   ;1,63   ;10,70   ;MALZEME;HIRDAVAT;160'LIK PVC BORU 1 mt - 1AD;Mar.19;
41;NOVA YAPI;11.03.2019;18,47   ;3,33   ;21,80   ;MALZEME;HIRDAVAT;€IRPI ˜P˜-1 AD, SPATULA -2 AD., MALA-1 AD.;Mar.19;
42;AT˜LA LTD.;10.03.2019;86,00   ;0,00   ;86,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;PERSONELE TATLI;Mar.19;
43;BS METAL GRUP;12.03.2019;5,08   ;0,92   ;6,00   ;MALZEME;HIRDAVAT;6 mm SP˜RAL TAžI - 1 AD.;Mar.19;
44;MARTVE-5 LTD.;12.03.2019;10,17   ;1,83   ;12,00   ;MALZEME;HIRDAVAT;2,5 mm SP˜RAL TAžI - 4 AD.;Mar.19;
45;BS METAL GRUP;12.03.2019;28,14   ;5,06   ;33,20   ;MALZEME;HIRDAVAT;20'L˜K AHžAP DEL˜C˜ UC - 1 AD., ELD˜VEN-12 AD.;Mar.19;
46;KARABAK LOKANTA;12.03.2019;166,50   ;0,00   ;166,50   ;D˜¦ER G˜DERLER;YEMEK;GECE BETON D™KšMš PERSONEL AKžAM YEME¦˜- 9 K˜ž˜;Mar.19;
47;BS METAL GRUP;13.03.2019;18,92   ;3,40   ;22,32   ;MALZEME;HIRDAVAT;12'L˜K BETON DEL˜C˜ UC-2 AD., KESER-1 AD.;Mar.19;
48;SEB-5 LTD;13.03.2019;100,00   ;0,00   ;100,00   ;AKARYAKIT;AKARYAKIT;K˜RALIK M˜N˜BšS MAZOT;Mar.19;
49;NUGZAR AMOLADZE;13.03.2019;9,50   ;0,00   ;9,50   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;GšMRšKTE KAHVE;Mar.19;
50;SOCAR PETROL;14.03.2019;100,00   ;0,00   ;100,00   ;AKARYAKIT;06 AER 902;DUSTER MAZOT;Mar.19;
51;BS METAL GRUP;14.03.2019;67,46   ;12,14   ;79,60   ;MALZEME;HIRDAVAT;4 AD. YA¦MURLUK;Mar.19;
52;MAGT˜ - COM;14.03.2019;3,00   ;0,00   ;3,00   ;˜LET˜ž˜M;TELEFON/˜NTERNET;TERCšMANA TELEFON KARTI;Mar.19;
53;MAGT˜ - COM;14.03.2019;9,00   ;0,00   ;9,00   ;˜LET˜ž˜M;TELEFON/˜NTERNET;H. D™LEK ž˜RKET HATTINA 3 GB ˜NTERNET YšKLEME;Mar.19;
54;MERAB DEVADZE;15.03.2019;11,86   ;2,14   ;14,00   ;MALZEME;HIRDAVAT;KESER SAPI-2 AD, ELK. BANDI-4 AD, €IRPI ˜P˜-1 AD;Mar.19;
55;KARABAK LOKANTA;16.03.2019;38,00   ;0,00   ;38,00   ;D˜¦ER G˜DERLER;YEMEK;TAHS˜N BEY, H. D™LEK AKžAM YEME¦˜;Mar.19;
56;ARHAV˜ RESTORAN;18.03.2019;32,00   ;0,00   ;32,00   ;D˜¦ER G˜DERLER;YEMEK;TAHS˜N BEY, H. D™LEK ™¦LE YEME¦˜;Mar.19;
57;BS METAL GRUP;21.03.2019;95,00   ;17,10   ;112,10   ;MALZEME;HIRDAVAT;KONTEYNER šSTLER˜NE €ADIR, PENSE 1 AD.;Mar.19;
58;BS METAL GRUP;21.03.2019;-20,00   ;-3,60   ;-23,60   ;MALZEME;HIRDAVAT;˜ADE ED˜LD˜.EREN CAN ž˜MžEK YANLIž ALDI¦I D˜RSEK ˜ADE ED˜LD˜;Mar.19;
59;BS METAL GRUP;21.03.2019;8,39   ;1,51   ;9,90   ;MALZEME;HIRDAVAT;KONTEYNER šSTLER˜NE EK €ADIR;Mar.19;
60;BS METAL GRUP;22.03.2019;13,11   ;2,36   ;15,47   ;MALZEME;HIRDAVAT;KšREK VE SAP 1 AD- Kš€šK SU TERAZ˜S˜ 1AD-ELK. BANDI 1AD;Mar.19;
61;BS METAL GRUP;23.03.2019;4,65   ;0,84   ;5,49   ;MALZEME;HIRDAVAT;MALA 1 AD.;Mar.19;
62;KARABAK LOKANTA;23.03.2019;33,00   ;0,00   ;33,00   ;D˜¦ER G˜DERLER;YEMEK;TAHS˜N BEY, H. D™LEK AKžAM YEME¦˜;Mar.19;
63;BA€ANA LTD. ECZANE;24.03.2019;8,50   ;0,00   ;8,50   ;D˜¦ER G˜DERLER;D˜¦ER;G™Z DAMLASI;Mar.19;
64;OKRO LTD.;24.03.2019;50,84   ;9,16   ;60,00   ;MALZEME;HIRDAVAT;BETON €˜V˜S˜ 5 KG- 10'LUK €˜V˜ 5 KG;Mar.19;
65;EKONOM˜K MARKET;24.03.2019;10,00   ;0,00   ;10,00   ;MALZEME;HIRDAVAT;100' LšK PVC BORU 4 MT;Mar.19;
66;MAGT˜ - COM;25.03.2019;20,00   ;0,00   ;20,00   ;˜LET˜ž˜M;TELEFON/˜NTERNET;TAHS˜N BEY HATTINA ˜NTERNET+KONUžMA YšKLEME;Mar.19;
